;Voters;voting_before;voting_normally;voting_outside;Invalid;Valid;Rodina;Kommunisty_rosii;Pensy_za_spravedlivost;Edinaya_rasiya;Green;Grazhd_Platforma;ldpr;Parnas;Rosta;Grazhd_Sila;Yabloko;kprf;Patrioty;Sprav_rasiya
PEC ¹2481;1629;0;632;16;8;640;3.40%;2.78%;3.40%;33.80%;1.23%;0.77%;11.73%;2.16%;5.71%;0.31%;8.18%;13.58%;1.85%;9.88%
PEC ¹2482;1685;0;579;7;16;570;4.27%;2.56%;3.58%;27.30%;1.88%;0.85%;11.43%;3.24%;4.78%;0.51%;12.63%;14.33%;0.00%;9.90%
PEC ¹2483;2542;0;852;16;10;850;4.19%;2.44%;3.14%;29.19%;2.44%;0.23%;13.02%;3.72%;3.26%;0.35%;14.42%;12.56%;0.58%;9.30%
PEC ¹2484;2336;0;825;14;15;821;2.75%;1.67%;2.03%;36.12%;1.20%;0.24%;10.89%;2.99%;2.99%;0.12%;11.12%;16.75%;0.72%;8.61%
PEC ¹2485;1769;0;504;13;5;512;2.32%;3.29%;3.29%;39.46%;1.35%;0.19%;11.99%;2.32%;2.90%;0.19%;7.16%;14.31%;0.58%;9.67%
PEC ¹2486;1747;0;586;23;8;599;1.81%;1.98%;3.29%;38.55%;3.95%;0.16%;11.86%;2.97%;4.28%;0.16%;9.06%;11.20%;0.99%;8.40%
PEC ¹2487;2729;0;928;21;49;882;1.61%;2.04%;3.87%;34.16%;1.40%;0.11%;13.75%;2.69%;3.97%;0.32%;8.38%;14.07%;0.21%;8.16%
PEC ¹2488;1596;0;521;8;16;512;4.92%;1.70%;3.22%;38.07%;2.08%;0.00%;14.20%;3.41%;1.52%;0.00%;5.87%;11.55%;0.76%;9.66%
PEC ¹2489;416;0;158;3;2;158;5.63%;1.88%;5.00%;29.38%;4.38%;0.63%;13.13%;0.63%;6.25%;0.00%;10.00%;10.63%;0.00%;11.25%
PEC ¹2490;2073;0;722;19;14;727;3.51%;1.48%;2.43%;30.36%;2.97%;0.54%;14.44%;4.32%;2.70%;0.00%;8.37%;17.68%;1.35%;7.96%
PEC ¹2491;1960;0;518;4;15;507;2.87%;2.11%;1.53%;40.42%;1.72%;0.57%;23.37%;1.15%;1.72%;0.38%;3.64%;12.45%;0.19%;4.98%
PEC ¹2492;1017;0;345;11;15;341;1.40%;2.25%;1.97%;39.61%;0.84%;0.00%;14.04%;2.53%;2.53%;0.00%;10.11%;12.36%;0.56%;7.58%
PEC ¹2493;1629;0;625;17;8;630;4.08%;0.47%;3.76%;32.92%;1.72%;0.16%;11.29%;3.13%;4.39%;0.78%;11.44%;15.52%;0.47%;8.62%
